STATION,STATION ID,IMPERIAL,METRIC
"ABERDEEN 0.7 NW, NC US",GHCND:US1NCMR0040,0,0
"ABERDEEN PHILLIPS FIELD, MD US",GHCND:USW00013701,0,0
"ABINGDON 3 S, VA US",GHCND:USC00440021,0,0
"ABINGTON 1.2 NNE, MA US",GHCND:US1MAPL0015,0,0
"ABINGTON 1.7 ESE, MA US",GHCND:US1MAPL0060,0,0
"ACTON 1.3 SW, MA US",GHCND:US1MAMD0012,0,0
"AGAWAM 1.1 SSW, MA US",GHCND:US1MAHD0033,0,0
"AKRON CANTON AIRPORT, OH US",GHCND:USW00014895,0,0
"ALBANY 0.7 SW, NY US",GHCND:US1NYAB0023,0,0
"ALBANY 4.1 NW, OH US",GHCND:US1OHAT0006,0,0
"ALBANY 4.5 WNW, OH US",GHCND:US1OHVN0003,0,0
"ALBANY INTERNATIONAL AIRPORT, NY US",GHCND:USW00014735,0,0
"ALBERTA 5 N, VA US",GHCND:USC00440079,0,0
"ALBERTSON 1.2 WNW, NC US",GHCND:US1NCDP0025,0,0
"ALBERTSON 1.8 SE, NC US",GHCND:US1NCDP0011,0,0
"ALBION, NY US",GHCND:USC00300055,0,0
"ALDERSON, WV US",GHCND:USC00460102,0,0
"ALEXANDRIA 6.8 S, VA US",GHCND:US1VAFX0105,0,0
"ALEXANDRIA 6.9 S, VA US",GHCND:US1VAFX0090,0,0
"ALFRED, NY US",GHCND:USC00300085,0,0
"ALLEGANY STATE PARK, NY US",GHCND:USC00300093,0,0
"ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US",GHCND:USW00014737,0,0
"ALTOONA 3 W, PA US",GHCND:USC00360140,0,0
"ALTOONA 7 SW, PA US",GHCND:USC00360132,0,0
"AMESBURY 1.2 N, MA US",GHCND:US1MAES0059,0,0
"AMHERST, MA US",GHCND:USC00190120,0,0
"ANCRAMDALE 0.2 N, NY US",GHCND:US1NYCB0015,0,0
"ANDOVER 0.6 E, MA US",GHCND:US1MAES0048,0,0
"ANGELICA, NY US",GHCND:USC00300183,0,0
"ANGIER 0.4 N, NC US",GHCND:US1NCHR0051,0,0
"APEX 2.9 NW, NC US",GHCND:US1NCWK0326,0,0
"APEX 7.8 NW, NC US",GHCND:US1NCCH0036,0,0
"APPLE CREEK 2.3 NE, OH US",GHCND:US1OHWN0008,0,0
"APPLETON, CA",GHCND:CA006100285,0,0
"APPOMATTOX, VA US",GHCND:USC00440243,0,0
"ARDMORE 0.5 NW, PA US",GHCND:US1PAMT0048,0,0
"ARLINGTON 0.4 WNW, MA US",GHCND:US1MAMD0175,0,0
"ARMONK 0.3 SE, NY US",GHCND:US1NYWC0018,0,0
"ASHBURNHAM NORTH, MA US",GHCND:USC00190192,0,0
"ASHBURNHAM, MA US",GHCND:USC00190190,0,0
"ASHLAND, VA US",GHCND:USC00440327,0,0
"ASPINWALL 0.0 NW, PA US",GHCND:US1PAAL0092,0,0
"ATHENS 2.3 SSE, OH US",GHCND:US1OHAT0016,0,0
"ATHOL 2.8 NNE, MA US",GHCND:US1MAWR0106,0,0
"ATLANTIC BEACH 0.6 W, NC US",GHCND:US1NCCR0120,0,0
"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",GHCND:USW00093730,0,0
"ATTICA 7 SW, NY US",GHCND:USC00300317,0,0
"AUBURN 2.6 SW, MA US",GHCND:US1MAWR0041,0,0
"AUBURN, NY US",GHCND:USC00300321,0,0
"AURORA 3.3 SSW, CA",GHCND:CA1ON000552,0,0
"AURORA RESEARCH FARM, NY US",GHCND:USC00300331,0,0
"AVERILL, VT US",GHCND:USC00430193,0,0
"AVON, NY US",GHCND:USC00300343,0,0
"AYDEN 6.5 WNW, NC US",GHCND:US1NCGN0012,0,0
"BAITING HOLLOW, NY US",GHCND:USC00300364,0,0
"BAKERSVILLE, CT US",GHCND:USC00060227,0,0
"BALDWIN, CA",GHCND:CA006110480,0,0
"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",GHCND:USW00093721,0,0
"BANGOR INTERNATIONAL AIRPORT, ME US",GHCND:USW00014606,0,0
"BANNER ELK, NC US",GHCND:USC00310506,0,0
"BARKHAMSTED, CT US",GHCND:USC00060299,0,0
"BARNSTABLE 0.7 NE, MA US",GHCND:US1MABA0076,0,0
"BARRE 1.4 NNE, MA US",GHCND:US1MAWR0054,0,0
"BARRE FALLS DAM, MA US",GHCND:USC00190408,0,0
"BARRIE LANDFILL, CA",GHCND:CA006110556,0,0
"BAT CAVE 1.8 NNW, NC US",GHCND:US1NCHN0063,0,0
"BATAVIA, NY US",GHCND:USC00300443,0,0
"BATH 0.7 N, NC US",GHCND:US1NCBF0010,0,0
"BATH 1.6 SSE, NC US",GHCND:US1NCBF0033,0,0
"BATH 4.2 E, NY US",GHCND:US1NYST0033,0,0
"BATH 6.6 ESE, NC US",GHCND:US1NCBF0016,0,0
"BAYARD, WV US",GHCND:USC00460527,0,0
"BEAUFORT 0.5 W, NC US",GHCND:US1NCCR0139,0,0
"BEAUFORT 1.5 NNW, NC US",GHCND:US1NCCR0070,0,0
"BEAUFORT 12.2 N, US",GHCND:US1NCCR0159,0,0
"BEAUFORT 3.8 N, NC US",GHCND:US1NCCR0136,0,0
"BEAUFORT 5.3 N, NC US",GHCND:US1NCCR0009,0,0
"BEAUFORT ASOS, NC US",GHCND:USW00093765,0,0
"BECKLEY RALEIGH CO AIRPORT, WV US",GHCND:USW00003872,0,0
"BECKLEY VA HOSPITAL, WV US",GHCND:USC00460580,0,0
"BEDFORD, VA US",GHCND:USC00440551,0,0
"BEECH MOUNTAIN, NC US",GHCND:USC00310645,0,0
"BELCHERTOWN, MA US",GHCND:USC00190562,0,0
"BELLEVILLE, CA",GHCND:CA006150689,0,0
"BELMONT 1.7 SW, NH US",GHCND:US1NHBK0002,0,0
"BELMONT 2.7 SSE, ME US",GHCND:US1MEWL0003,0,0
"BELOEIL 0.7 NW, CA",GHCND:CA1QC000051,0,0
"BELPRE 0.3 NE, OH US",GHCND:US1OHWS0009,0,0
"BELTSVILLE, MD US",GHCND:USC00180700,0,0
"BELTZVILLE DAM, PA US",GHCND:USC00360560,0,0
"BELVIDERE BRIDGE, NJ US",GHCND:USC00280734,0,0
"BENNETTS BRIDGE, NY US",GHCND:USC00300608,0,0
"BENNETTSVILLE 1.2 SE, SC US",GHCND:US1SCMB0002,0,0
"BERLIN 1.3 WSW, MA US",GHCND:US1MAWR0028,0,0
"BERLIN LAKE, OH US",GHCND:USC00330639,0,0
"BERLIN, NH US",GHCND:USC00270690,0,0
"BERRY S POND 0.3 SW, SC US",GHCND:US1SCSP0091,0,0
"BETHEL 3.5 NNE, CT US",GHCND:US1CTFR0041,0,0
"BETHESDA 2.0 WNW, MD US",GHCND:US1MDMG0066,0,0
"BEVERLY, MA US",GHCND:USC00190593,0,0
"BIG ISLAND, VA US",GHCND:USC00444039,0,0
"BINGHAMTON GREATER AP, NY US",GHCND:USW00004725,0,0
"BLACK MOUNTAIN 1.3 NNE, NC US",GHCND:US1NCBC0105,0,0
"BLACKSBURG 1.3 ESE, VA US",GHCND:US1VAMN0024,0,0
"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",GHCND:USC00440766,0,0
"BLAIRSTOWN TWP 2.4 E, NJ US",GHCND:US1NJWR0034,0,0
"BLOCK ISLAND COOP, RI US",GHCND:USC00370897,0,0
"BLUE HILL COOP, MA US",GHCND:USC00190736,0,0
"BLUE MARSH LAKE, PA US",GHCND:USC00360785,0,0
"BLUEFIELD, WV US",GHCND:USC00460925,0,0
"BLUESTONE LAKE, WV US",GHCND:USC00460939,0,0
"BLYTHEWOOD 1.0 W, SC US",GHCND:US1SCRC0041,0,0
"BLYTHEWOOD 3.8 ENE, SC US",GHCND:US1SCRC0050,0,0
"BLYTHEWOOD 5.8 W, SC US",GHCND:US1SCRC0090,0,0
"BON AIR 4.0 S, VA US",GHCND:US1VACS0048,0,0
"BOONE 1 SE, NC US",GHCND:USC00310982,0,0
"BOONTON 1 SE, NJ US",GHCND:USC00280907,0,0
"BOONVILLE 4 SSW, NY US",GHCND:USC00300785,0,0
"BOSTON 2.5 NE, NY US",GHCND:US1NYER0166,0,0
"BOSTON, MA US",GHCND:USW00014739,0,0
"BOW 1.6 NW, NH US",GHCND:US1NHMR0004,0,0
"BOWMANSTOWN 3.0 WSW, PA US",GHCND:US1PACB0012,0,0
"BOXFORD 2.4 S, MA US",GHCND:US1MAES0012,0,0
"BRADDOCK LOCK 2, PA US",GHCND:USC00360861,0,0
"BRANT LAKE 1.7 ENE, NY US",GHCND:US1NYWR0021,0,0
"BRASSUA DAM, ME US",GHCND:USC00170814,0,0
"BREWSTER 1.4 W, MA US",GHCND:US1MABA0080,0,0
"BRICK TWP 2.4 SSW, NJ ",GHCND:US1NJOC0075,0,0
"BRIDGEPORT 2.9 NNW, CT US",GHCND:US1CTFR0070,0,0
"BRIDGEVILLE 3.0 ESE, DE US",GHCND:US1DESS0080,0,0
"BRIDGEWATER TWP 3.3 NW, NJ US",GHCND:US1NJSM0005,0,0
"BRIDGEWATER, MA US",GHCND:USC00190840,0,0
"BRIGHTWATERS 0.5 NNE, NY US",GHCND:US1NYSF0129,0,0
"BRISTOL HARBOUR, NY US",GHCND:USC00300910,0,0
"BROCKPORT 0.6 WNW, NY US",GHCND:US1NYMR0015,0,0
"BROCKTON, MA US",GHCND:USC00190860,0,0
"BROCKVILLE PCC, CA",GHCND:CA006100971,0,0
"BROOKFIELD 3.3 SSE, CT US",GHCND:US1CTFR0009,0,0
"BROOKLINE 2.1 SW, NH US",GHCND:US1NHHL0019,0,0
"BROOKLYN 3.1 NW, NY US",GHCND:US1NYKN0025,0,0
"BROOKNEAL, VA US",GHCND:USC00441082,0,0
"BRUNSWICK 0.5 NE, OH US",GHCND:US1OHMD0002,0,0
"BRUSSELS 0.4 ESE MVCA, CA",GHCND:CA1ON000149,0,0
"BRYN MAWR 0.7 W, PA US",GHCND:US1PADL0015,0,0
"BUCKINGHAM, VA US",GHCND:USC00441136,0,0
"BUCKLAND 1.8 ESE, MA US",GHCND:US1MAFR0017,0,0
"BUCKSPORT 3.3 NNW, ME US",GHCND:US1MEHN0042,0,0
"BUENA VISTA, VA US",GHCND:USC00441159,0,0
"BUFFALO 3.9 N, NY US",GHCND:US1NYER0236,0,0
"BUFFALO NIAGARA INTERNATIONAL, NY US",GHCND:USW00014733,0,0
"BUFFUMVILLE LAKE, MA US",GHCND:USC00190998,0,0
"BULADEAN 1.3 ESE, NC US",GHCND:US1NCML0015,0,0
"BURGAW 0.3 NE, NC US",GHCND:US1NCPD0022,0,0
"BURKES GARDEN, VA US",GHCND:USC00441209,0,0
"BURLINGTON 1.7 W, CA",GHCND:CA1ON000033,0,0
"BURLINGTON INTERNATIONAL AIRPORT, VT US",GHCND:USW00014742,0,0
"BURLINGTON, CT US",GHCND:USC00060973,0,0
"BURNSVILLE 6.5 SSW, NC US",GHCND:US1NCYN0004,0,0
"BUSKIRK, NY US",GHCND:USC00301068,0,0
"CABOT 0.3 N, PA US",GHCND:US1PABT0024,0,0
"CACAPON ST PARK NUMBER 2, WV US",GHCND:USC00461324,0,0
"CALEDONIA 0.3 NW GRCA, CA",GHCND:CA1ON000477,0,0
"CALEDONIA 12.4 NW, CA",GHCND:CA1ON000103,0,0
"CAMBRIDGE 1.4 WNW, MD US",GHCND:US1MDDR0007,0,0
"CAMBRIDGE 3.2 NE, OH US",GHCND:US1OHGY0010,0,0
"CAMDEN 3.6 ESE, SC US",GHCND:US1SCKR0045,0,0
"CAMDEN 6.6 NE, SC US",GHCND:US1SCKR0004,0,0
"CANAAN VALLEY NUMBER 2, WV US",GHCND:USC00461397,0,0
"CANADENSIS EAST, PA US",GHCND:USC00361207,0,0
"CANDOR 1.8 N, NY US",GHCND:US1NYTG0020,0,0
"CANTERBURY 2.5 SSW, NH US",GHCND:US1NHMR0055,0,0
"CANTON, PA US",GHCND:USC00361212,0,0
"CAPE CARTERET 0.8 NE, NC US",GHCND:US1NCCR0109,0,0
"CAPE CARTERET 1.0 NNW, NC US",GHCND:US1NCCR0158,0,0
"CAPE CARTERET 1.5 NE, NC US",GHCND:US1NCCR0146,0,0
"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",GHCND:USW00093729,0,0
"CAPE NEDDICK, ME US",GHCND:USC00171131,0,0
"CARIBOU WEATHER FORECAST OFFICE, ME US",GHCND:USW00014607,0,0
"CARLISLE WATER PLANT, PA US",GHCND:USC00361920,0,0
"CARROLL 4.6 NE, NH US",GHCND:US1NHCS0019,0,0
"CARY 0.4 NNW, NC US",GHCND:US1NCWK0176,0,0
"CARY 0.5 NW, NC US",GHCND:US1NCWK0106,0,0
"CARY 1.1 W, NC US",GHCND:US1NCWK0079,0,0
"CARY 1.3 WNW, NC US",GHCND:US1NCWK0212,0,0
"CARY 7.5 WNW, NC US",GHCND:US1NCCH0020,0,0
"CARY 7.8 WNW, NC US",GHCND:US1NCCH0025,0,0
"CASHTOWN 1 S, PA US",GHCND:USC00363226,0,0
"CATAWBA, SC US",GHCND:USC00381462,0,0
"CAYUGA 3.2 ESE, NY US",GHCND:US1NYCY0002,0,0
"CAYUGA LOCK NUMBER 1, NY US",GHCND:USC00301265,0,0
"CEDAR ISLAND 0.3 SSE, NC US",GHCND:US1NCCR0150,0,0
"CEDAR LAKE 1.0 SSW, CA",GHCND:CA1NS000063,0,0
"CEDAR POINT 0.4 WSW, NC US",GHCND:US1NCCR0137,0,0
"CEDAR POINT 0.9 WSW, NC US",GHCND:US1NCCR0107,0,0
"CENTERPORT, NY US",GHCND:USC00301309,0,0
"CENTREVILLE, CA",GHCND:CA006151309,0,0
"CHAMCOOK 6.1 NNW, CA",GHCND:CA1NB000007,0,0
"CHAPEL HILL 2 W, NC US",GHCND:USC00311677,0,0
"CHAPEL HILL 2.2 N, NC US",GHCND:US1NCOR0055,0,0
"CHAPEL HILL 2.3 NNW, NC US",GHCND:US1NCOR0067,0,0
"CHAPEL HILL 2.5 N, NC US",GHCND:US1NCOR0051,0,0
"CHAPEL HILL 2.5 SE, NC US",GHCND:US1NCDH0033,0,0
"CHAPEL HILL 2.9 WNW, NC US",GHCND:US1NCOR0058,0,0
"CHAPEL HILL 3.9 WNW, NC US",GHCND:US1NCOR0078,0,0
"CHAPEL HILL 4.0 WNW, NC US",GHCND:US1NCOR0064,0,0
"CHAPEL HILL 4.3 WSW, NC US",GHCND:US1NCOR0038,0,0
"CHAPEL HILL 4.7 SW, NC US",GHCND:US1NCOR0048,0,0
"CHAPEL HILL 4.9 SSE, NC US",GHCND:US1NCDH0036,0,0
"CHAPEL HILL 5.9 SW, NC US",GHCND:US1NCCH0056,0,0
"CHAPEL HILL 6.5 WSW, NC US",GHCND:US1NCOR0073,0,0
"CHAPEL HILL 6.8 S, NC US",GHCND:US1NCCH0049,0,0
"CHAPEL HILL 7.2 W, NC US",GHCND:US1NCOR0062,0,0
"CHAPEL HILL 7.2 WSW, NC US",GHCND:US1NCOR0063,0,0
"CHAPEL HILL 9.4 W, NC US",GHCND:US1NCOR0045,0,0
"CHAPIN 1.3 SSE, SC US",GHCND:US1SCLX0049,0,0
"CHAPIN 4.3 E, SC US",GHCND:US1SCRC0004,0,0
"CHAPIN 5.0 ESE, SC US",GHCND:US1SCRC0093,0,0
"CHAPIN 5.8 SE, SC US",GHCND:US1SCLX0188,0,0
"CHARDON, OH US",GHCND:USC00331458,0,0
"CHARLEROI LOCK 4, PA US",GHCND:USC00361377,0,0
"CHARLESTON 2.6 W, WV US",GHCND:US1WVKN0033,0,0
"CHARLESTON YEAGER AIRPORT, WV US",GHCND:USW00013866,0,0
"CHARLOTTE DOUGLAS AIRPORT, NC US",GHCND:USW00013881,0,0
"CHARLOTTESVILLE 2 W, VA US",GHCND:USC00441593,0,0
"CHASES LAKE, NY US",GHCND:USC00301388,0,0
"CHATHAM 0.2 SSE, MA US",GHCND:US1MABA0065,0,0
"CHATHAM 0.4 WSW, MA US",GHCND:US1MABA0043,0,0
"CHATHAM, VA US",GHCND:USC00441614,0,0
"CHATSWORTH 0.3 NE GSCA, CA",GHCND:CA1ON000649,0,0
"CHEEKTOWAGA 2.4 NW, NY US",GHCND:US1NYER0122,0,0
"CHEEKTOWAGA 2.7 NE, NY US",GHCND:US1NYER0102,0,0
"CHELMSFORD 1.2 E, MA US",GHCND:US1MAMD0062,0,0
"CHEMUNG 5.7 N, NY US",GHCND:US1NYCM0024,0,0
"CHESAPEAKE 1.8 NE, VA US",GHCND:US1VACSC015,0,0
"CHESAPEAKE 3.1 NNW, VA US",GHCND:US1VACSC026,0,0
"CHESAPEAKE 4.3 ENE, VA US",GHCND:US1VACSC014,0,0
"CHESAPEAKE 7.3 NE, VA US",GHCND:US1VACSC017,0,0
"CHESHIRE 0.5 NNW, MA US",GHCND:US1MABE0021,0,0
"CHESTER 1 SE, SC US",GHCND:USC00381633,0,0
"CHESTERFIELD 3 E, SC US",GHCND:USC00381645,0,0
"CHICHESTER 2.7 SSW, NH US",GHCND:US1NHMR0025,0,0
"CHOCOWINITY 0.2 W, NC US",GHCND:US1NCBF0034,0,0
"CHRISTIANSBURG, VA US",GHCND:USC00441692,0,0
"CLAREMONT 0.2 SW, VA US",GHCND:US1VASR0001,0,0
"CLARENCE CENTER 0.2 ESE, NY US",GHCND:US1NYER0151,0,0
"CLARION 3 SW, PA US",GHCND:USC00361485,0,0
"CLARK TWP 1.3 ENE, NJ US",GHCND:US1NJUN0036,0,0
"CLARKSVILLE, VA US",GHCND:USC00441746,0,0
"CLAY 4.6 NW, NY US",GHCND:US1NYOG0012,0,0
"CLAYTON 4.2 SSE, NC US",GHCND:US1NCJH0098,0,0
"CLAYTON 4.6 ENE, NC US",GHCND:US1NCJH0105,0,0
"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",GHCND:USW00014820,0,0
"CLIFTON PARK 2.7 S, NY US",GHCND:US1NYSR0029,0,0
"CLINTON 1.5 NE, NC US",GHCND:US1NCSM0008,0,0
"CLINTON 4.5 SSE, NC US",GHCND:US1NCSM0025,0,0
"CLINTON TWP 3.9 N, NJ US",GHCND:US1NJHN0018,0,0
"CLINTON, SC US",GHCND:USC00381814,0,0
"CLIO 1.6 WNW, SC US",GHCND:US1SCMB0011,0,0
"CLYDE 0.3 WNW, NY US",GHCND:US1NYWN0026,0,0
"CLYDE LOCK 26, NY US",GHCND:USC00301580,0,0
"COBOURG STP, CA",GHCND:CA006151689,0,0
"COLDEN 1 W, NY US",GHCND:USC00301625,0,0
"COLDWATER WARMINSTER, CA",GHCND:CA006111769,0,0
"COLESVILLE 1.1 NNW, MD US",GHCND:US1MDMG0020,0,0
"COLESVILLE 1.7 W, MD US",GHCND:US1MDMG0018,0,0
"COLUMBIA 0.8 NNE, NC US",GHCND:US1NCTY0005,0,0
"COLUMBIA 2.3 N, MD US",GHCND:US1MDHW0018,0,0
"COLUMBIA 6.7 N, SC US",GHCND:US1SCRC0012,0,0
"COLUMBIA 8.8 N, SC US",GHCND:US1SCRC0106,0,0
"COLUMBIA 9.7 N, SC US",GHCND:US1SCRC0121,0,0
"COLUMBIANA 0.1 NNE, OH US",GHCND:US1OHCB0023,0,0
"CONCORD 4 SSW, VA US",GHCND:USC00441955,0,0
"CONCORD ASOS, NH US",GHCND:USW00014745,0,0
"CONFLUENCE 1 SW DAM, PA US",GHCND:USC00361705,0,0
"CONKLINGVILLE DAM, NY US",GHCND:USC00301708,0,0
"CONNELLSVILLE 2 SSW, PA US",GHCND:USC00361726,0,0
"CONSECON 1.9 NNW, CA",GHCND:CA1ON000874,0,0
"CONSHOHOCKEN, PA US",GHCND:USC00361737,0,0
"CONWAY 0.9 SW, MA US",GHCND:US1MAFR0010,0,0
"CONWAY 1.2 E, MA US",GHCND:US1MAFR0046,0,0
"CONWAY 2.9 NW, MA US",GHCND:US1MAFR0013,0,0
"COOPERSTOWN, NY US",GHCND:USC00301752,0,0
"COPIAGUE 0.4 ENE, NY US",GHCND:US1NYSF0062,0,0
"COPPER HILL, VA US",GHCND:USC00441999,0,0
"CORINTH, VT US",GHCND:USC00431565,0,0
"CORNISH 5.6 ESE, ME US",GHCND:US1MEYK0067,0,0
"CORNWALL, CA",GHCND:CA006101874,0,0
"CORNWALL, VT US",GHCND:USC00431580,0,0
"COUDERSPORT 7 SE, PA US",GHCND:USC00361810,0,0
"COVENTRY 0.3 NNE, CT US",GHCND:US1CTTL0040,0,0
"COVENTRY 1.2 SW, RI US",GHCND:US1RIKN0059,0,0
"COVENTRY 2, RI US",GHCND:USC00371875,0,0
"COVENTRY, RI US",GHCND:USC00371874,0,0
"COVINGTON 2 WSW, PA US",GHCND:USC00361833,0,0
"COVINGTON 4.1 E, VA US",GHCND:US1VAAL0003,0,0
"COVINGTON FILTER PLANT, VA US",GHCND:USC00442044,0,0
"CRAFTSBURY COMMON 0.8 NW, VT US",GHCND:US1VTOL0026,0,0
"CRANSTON 4.2 ENE, RI US",GHCND:US1RIPR0044,0,0
"CRESAPTOWN BEL AIR 0.9 SSE, MD US",GHCND:US1MDAL0002,0,0
"CROFTON 1.1 SSE, MD US",GHCND:US1MDAA0071,0,0
"CROZIER, VA US",GHCND:USC00442142,0,0
"CUMBERLAND 2, MD US",GHCND:USC00182282,0,0
"CUMBERLAND HILL 3.6 NNE, RI US",GHCND:US1RIPR0055,0,0
"CUYAHOGA FALLS 1.1 ESE, OH US",GHCND:US1OHSM0005,0,0
"CYLBURN, MD US",GHCND:USC00182308,0,0
"DALE ENTERPRISE, VA US",GHCND:USC00442208,0,0
"DAMASCUS 3 SSW, MD US",GHCND:USC00182336,0,0
"DANBURY, NC US",GHCND:USC00312238,0,0
"DANIELSON 3.2 ESE, CT US",GHCND:US1CTWN0026,0,0
"DANVERS 0.8 ESE, MA US",GHCND:US1MAES0041,0,0
"DANVERS 2.5 NNE, MA US",GHCND:US1MAES0071,0,0
"DANVILLE 2 SE, VA US",GHCND:USC00442245,0,0
"DARIEN 1.8 ENE, CT US",GHCND:US1CTFR0035,0,0
"DARLINGTON 0.3 ENE, SC US",GHCND:US1SCDR0033,0,0
"DARLINGTON 7.5 SSW, SC US",GHCND:US1SCDR0046,0,0
"DASHWOOD 7.4 W, CA",GHCND:CA1ON000075,0,0
"DAUPHIN 2.6 NNE, PA US",GHCND:US1PADP0032,0,0
"DAVIS 3 SE, WV US",GHCND:USC00462211,0,0
"DEDHAM 5.7 ESE, ME US",GHCND:US1MEHN0067,0,0
"DEDHAM, ME US",GHCND:USC00171867,0,0
"DELHI 2 SE, NY US",GHCND:USC00302036,0,0
"DELHI 6.6 WNW, NY US",GHCND:US1NYDL0032,0,0
"DELMAR 0.3 ESE, MD US",GHCND:US1MDWC0026,0,0
"DELMAR 4.3 E, DE US",GHCND:US1DESS0003,0,0
"DELTAVILLE 1.0 NE, VA US",GHCND:US1VAMX0009,0,0
"DEWITTVILLE 1.0 SSE, NY US",GHCND:US1NYCQ0042,0,0
"DIGHTON 1.1 WSW, MA US",GHCND:US1MABR0008,0,0
"DILLON 3.8 NW, SC US",GHCND:US1SCDL0004,0,0
"DISPUTANTA 6.3 NE, VA US",GHCND:US1VAPC0005,0,0
"DONEGAL 2 NW, PA US",GHCND:USC00362183,0,0
"DOVER 2.5 N, NH US",GHCND:US1NHST0014,0,0
"DOVER 4.6 WNW, OH US",GHCND:US1OHTS0001,0,0
"DOVER FOXCROFT WWTP, ME US",GHCND:USC00171975,0,0
"DRESDEN 1.5 NW, ME US",GHCND:US1MELN0004,0,0
"DRUMMOND CENTRE, CA",GHCND:CA006102J13,0,0
"DUCK 0.7 SSE, NC US",GHCND:US1NCDR0081,0,0
"DUNKIRK, NY US",GHCND:USC00302197,0,0
"DURHAM 1.2 NW, NC US",GHCND:US1NCDH0006,0,0
